id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph,country
Q35648,William,Taft,1857-09-15,1930-03-08,Cincinnati,https://en.wikipedia.org/wiki/William_Howard_Taft,1909-03-04,1913-03-04,"William Howard Taft(September 15, 1857 – March 8, 1930) was the 27thpresident of the United States, serving from 1909 to 1913, and the tenthchief justice of the United States, serving from 1921 to 1930, the only person to have held both offices. Taft was elected presidentin 1908, the chosen successor ofTheodore Roosevelt, but was defeated for reelectionin 1912byWoodrow Wilsonafter RooseveltsplittheRepublicanvote by running as athird-partycandidate. In 1921, PresidentWarren G. Hardingappointed Taft to be chief justice, a position he held until a month before his death.",us
Q35678,Benjamin,Harrison,1833-08-20,1901-03-13,North Bend,https://en.wikipedia.org/wiki/Benjamin_Harrison,1889-03-04,1893-03-04,"Benjamin Harrison(August 20, 1833 – March 13, 1901) was an American politician who served as the 23rdpresident of the United Statesfrom 1889 to 1893. He was a member of theHarrison family of Virginia—a grandson of the ninth president,William Henry Harrison, and a great-grandson ofBenjamin Harrison V, aFounding Father.",us
Q35686,Rutherford,Hayes,1822-10-04,1893-01-17,Delaware,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,1877-03-04,1881-03-04,"Rutherford Birchard Hayes(/ˈrʌðərfərd/; October 4, 1822 – January 17, 1893) was an American military officer and politician from the state ofOhio. ARepublican, Hayes served as the 19thpresident of the United Statesfrom 1877 to 1881.",us
Q36023,John,Coolidge,1872-07-04,1933-01-05,Plymouth Notch,https://en.wikipedia.org/wiki/Calvin_Coolidge,1923-08-02,1929-03-04,"Calvin Coolidge(bornJohn Calvin Coolidge Jr.;/ˈkuːlɪdʒ/; July 4, 1872 – January 5, 1933) was an American attorney and politician who served as the 30thpresident of the United Statesfrom 1923 to 1929.",us
Q157,François,Hollande,1954-08-12,,Rouen,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,2012-05-15,2017-05-14,"Cet article concerne la biographie de la personne. Pour sa présidence, voirprésidence de François Hollande.",fr
Q329,Nicolas,Sarkozy,1955-01-28,,Paris,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,2007-05-16,2012-05-15,"Nicolas Sarközy de Nagy-Bocsa[d], ditNicolas Sarkozy(/ni.kɔ.lasaʁ.kɔ.zi/[e];Écouter), né le28 janvier 1955àParis(France), est unhomme d'Étatfrançais. Il estprésident de la République françaisedu16 mai 2007au15 mai 2012.",fr
Q2038,François,Mitterrand,1916-10-26,1996-01-08,Jarnac,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,1981-05-21,1995-05-17,"François Mitterrand[fʁɑ̃swamitɛʁɑ̃][n 1]Écouter, né le26 octobre 1916àJarnac(Charente) et mort le8 janvier 1996àParis, est unhomme d'Étatfrançais,président de la Républiquedu21 mai 1981au17 mai 1995.",fr
Q2042,Charles,de Gaulle,1890-11-22,1970-11-09,Lille,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,1959-01-08,1969-04-28,"Pour les articles homonymes, voirCharles de Gaulle (homonymie)etGaulle.",fr
Q2105,Jacques,Chirac,1932-11-29,2019-09-26,5th arrondissement of Paris,https://fr.wikipedia.org/wiki/Jacques_Chirac,1995-05-17,2007-05-16,"Jacques Chirac(/ʒakʃiʁak/[b]Écouter), né le29 novembre 1932dans le5earrondissement de Pariset mort le26 septembre 2019dans le6earrondissement de la même ville, est unhaut fonctionnaireethomme d'Étatfrançais. Il estPremier ministrede 1974 à 1976, puis de 1986 à 1988, etprésident de la Républiquede 1995 à 2007.",fr
Q2124,Valéry,Giscard d'Estaing,1926-02-02,2020-12-02,Koblenz,https://fr.wikipedia.org/wiki/Val%C3%A9ry_Giscard_d%27Estaing,1974-05-27,1981-05-21,"Valéry Giscard d'Estaing[valeʁiʒiskaʁdɛstɛ̃][d]Écouter— communément appelé «Giscard» ou désigné par ses initiales, «VGE» —, né le2 février 1926àCoblence(Allemagne) et mort le2 décembre 2020àAuthon(France), est unhomme d'Étatfrançais,président de la Républiquede 1974 à 1981.",fr
Q2185,Georges,Pompidou,1911-07-05,1974-04-02,Montboudif,https://fr.wikipedia.org/wiki/Georges_Pompidou,1969-06-20,1974-04-02,"Georges Pompidou(Écouter), né le5 juillet 1911àMontboudif(Cantal) et mort le2 avril 1974àParis, est unhaut fonctionnaireethomme d'Étatfrançais. Il estPremier ministredu14 avril 1962au10 juillet 1968etprésident de la Républiquedu20 juin 1969à sa mort.",fr
Q5738,Adolphe,Thiers,1797-04-15,1877-09-03,Marseille,https://fr.wikipedia.org/wiki/Adolphe_Thiers,1871-08-31,1873-05-24,"Cet article concerne l'homme d'État. Pour l'architecte, voirAdolphe Thiers (architecte).",fr
Q7721,Napoléon,Bonaparte,1808-04-20,1873-01-09,Paris,https://fr.wikipedia.org/wiki/Napol%C3%A9on_III,1848-12-20,1852-12-02,Ne doit pas être confondu avecNapoléon-Louis Bonaparte (1804-1831)ouLouis-Napoléon Bonaparte (1856-1879).,fr
Q12680,Paul,Doumer,1857-03-22,1932-05-07,Aurillac,https://fr.wikipedia.org/wiki/Paul_Doumer,1931-06-13,1932-05-07,"Joseph Athanase Doumer, ditPaul Doumer, né le22 mars 1857àAurillac(Cantal) etassassinéle7 mai 1932àParis, est unhomme d'Étatfrançais. Il estprésident de la Républiquedu13 juin 1931à sa mort.",fr
Q12950,Alain,Poher,1909-04-17,1996-12-09,Ablon-sur-Seine,https://fr.wikipedia.org/wiki/Alain_Poher,1969-04-28,1969-06-20,"Alain Poher, né le17 avril 1909àAblon-sur-Seine(Seine-et-Oise) et mort le9 décembre 1996àParis16e, est unhomme d'Étatfrançais.",fr
Q158749,Albert,Lebrun,1871-08-29,1950-03-06,Mercy-le-Haut,https://fr.wikipedia.org/wiki/Albert_Lebrun,1932-05-10,1940-07-11,"Albert Lebrun, né le29 août 1871àMercy-le-Haut(alors enMosellerestée française après letraité de Francfort) et mort le6 mars 1950àParis(alors dans ledépartement de la Seine), est unhomme d'Étatfrançais. Il estprésident de la République françaisedu10 mai 1932au11 juillet 1940(le dernier de laIIIeRépublique).",fr
Q158768,René,Coty,1882-03-20,1962-11-22,Le Havre,https://fr.wikipedia.org/wiki/Ren%C3%A9_Coty,1954-01-16,1959-01-08,"René Coty, né le20 mars 1882auHavreet mort le22 novembre 1962dans la même ville, est unhomme d'Étatfrançais. Il estprésident de la Républiquedu16 janvier 1954au8 janvier 1959.",fr
Q158772,Vincent,Auriol,1884-08-27,1966-01-01,Revel,https://fr.wikipedia.org/wiki/Vincent_Auriol,1947-01-16,1954-01-16,"Vincent Auriol, né le27 août 1884àRevel(Haute-Garonne) et mort le1erjanvier 1966àParis, est unhomme d'Étatfrançais. Il estprésident de la Républiquedu16 janvier 1947au16 janvier 1954.",fr
Q158838,Patrice,de Mac Mahon,1808-06-13,1893-10-17,Sully,https://fr.wikipedia.org/wiki/Patrice_de_Mac_Mahon,1873-05-24,1879-01-30,"Patrice de Mac Mahon[b], comte deMac Mahon,1erduc de Magenta,maréchal de France, né le13 juin 1808auchâteaudeSully(Saône-et-Loire) et mort le17 octobre 1893àMontcresson(Loiret), est unmilitaireethomme d’Étatfrançais,président de la Républiquedu 24 mai 1873 au 30 janvier 1879.",fr
Q169502,Émile,Loubet,1838-12-31,1929-12-20,Marsanne,https://fr.wikipedia.org/wiki/%C3%89mile_Loubet,1899-02-18,1906-02-18,"Émile Loubet, né le30 décembre 1838àMarsanne(Drôme) et mort le20 décembre 1929àMontélimar(Drôme), est unhomme d'Étatfrançais. Il estprésident de la République françaisedu18 février 1899au18 février 1906.",fr
Q191974,Raymond,Poincaré,1860-08-20,1934-10-15,Bar-le-Duc,https://fr.wikipedia.org/wiki/Raymond_Poincar%C3%A9,1913-02-18,1920-02-18,"Raymond Poincaré, du nom completRaymond Nicolas Landry Poincaré, est né le20 août 1860àBar-le-Duc(Meuse) et mort le15 octobre 1934àParis, est unavocatethomme d'Étatfrançais. Il est leprésident de la République françaisedu18 février 1913au18 février 1920.",fr
Q215778,Marie,Carnot,1837-08-11,1894-06-25,Limoges,https://fr.wikipedia.org/wiki/Sadi_Carnot_(homme_d%27%C3%89tat),1887-12-03,1894-06-25,"Marie François Sadi Carnot, plus souvent appeléSadi Carnot, est unhomme d'Étatfrançais, né le11 août 1837àLimogeset mort assassiné le25 juin 1894àLyon. Il estprésident de la Républiquedu3 décembre 1887à sa mort.",fr
Q274540,Alexandre,Millerand,1859-02-10,1943-04-06,Paris,https://fr.wikipedia.org/wiki/Alexandre_Millerand,1920-09-23,1924-06-11,"Alexandre Millerand, né le10 février 1859àPariset mort le6 avril 1943àVersailles, est unhomme d'Étatfrançais. Il estprésident du Conseildu20 janvierau23 septembre 1920, puisprésident de la Républiquedu23 septembre 1920au11 juin 1924.",fr
Q296064,Gaston,Doumergue,1863-08-01,1937-06-18,Aigues-Vives,https://fr.wikipedia.org/wiki/Gaston_Doumergue,1924-06-13,1931-06-13,"Gaston Doumergue, né le1eraoût 1863àAigues-Vives(Gard) et mort le18 juin 1937dans la même ville, est unhomme d'Étatfrançais. Il estprésident de la République françaisedu13 juin 1924au13 juin 1931.",fr
Q296076,Félix,Faure,1841-01-30,1899-02-16,Paris,https://fr.wikipedia.org/wiki/F%C3%A9lix_Faure,1895-01-17,1899-02-16,"Félix Faure, né le30 janvier 1841àPariset mort le16 février 1899dans la même ville, est unhomme d'Étatfrançais. Il estprésident de la Républiquedu17 janvier 1895à sa mort.",fr
Q296083,Jules,Grévy,1807-08-15,1891-09-09,Mont-sous-Vaudrey,https://fr.wikipedia.org/wiki/Jules_Gr%C3%A9vy,1879-01-30,1887-12-02,"Jules Grévy se marie le29 août 1848àParis, avecCoralie Fraisse, fille d'un négociant tanneur deNarbonne. Ils ont une fille : Alice (1849-1938).Jules Ferryfut plus tard témoin du mariage de sa fille avecDaniel Wilson, en 1881.",fr
Q296673,Clément,Fallières,1841-11-06,1931-06-22,Mézin,https://fr.wikipedia.org/wiki/Armand_Falli%C3%A8res,1906-02-18,1913-02-18,"Clément Armand Fallières est issu d'une famille de propriétaires ruraux de l'Albret, localisée àMézin(Lot-et-Garonne). Son grand-père paternel, Joseph Fallières (1781-1866), estforgeron, tandis que son père, Pierre Fallières(1810-1874), occupe la fonction de géomètre-arpenteur. Pierre Fallières est marié à Marie-Magdeleine Sérizac. Lorsque son beau-père, M. Sérizac, prend sa retraite, Pierre Fallières le remplace en tant que greffier de la justice de paix de Mézin.",fr
Q309995,Paul,Deschanel,1855-02-13,1922-04-28,Schaerbeek - Schaarbeek,https://fr.wikipedia.org/wiki/Paul_Deschanel,1920-02-18,1920-09-21,"Paul Deschanel, né le13 février 1855àSchaerbeek(Belgique) et mort le28 avril 1922àParis(France), est unhomme d'État,journalisteetécrivainfrançais,président de la Républiquedu18 févrierau21 septembre 1920.",fr
Q312026,Georges,Bidault,1899-10-05,1983-01-27,Moulins,https://fr.wikipedia.org/wiki/Georges_Bidault,1946-06-24,1946-10-14,Ne doit pas être confondu avecGeorges Bidault de l'Isle.,fr
Q315656,Jean,Casimir-Perier,1847-11-08,1907-03-11,Paris,https://fr.wikipedia.org/wiki/Jean_Casimir-Perier,1894-06-27,1895-01-16,"Jean Casimir-Perier, né le8 novembre 1847àPariset mort le11 mars 1907dans la même ville, est unhomme d'Étatfrançais. Il estprésident de la République françaisedu27 juin 1894au16 janvier 1895.",fr
Q356032,Charles,Dupuy,1851-11-05,1923-07-23,Le Puy-en-Velay,https://fr.wikipedia.org/wiki/Charles_Dupuy,1894-06-25,1894-06-27,"Charles Dupuy, né le5 novembre 1851auPuy-en-Velayet mort le23 juillet 1923àIlle-sur-Têt, est unhomme d'Étatfrançais. Il occupe à plusieurs reprises la fonction deprésident du Conseilsous laIIIeRépublique, entre 1893 et 1899. Il est également président de laChambre des députésde 1893 à 1894.",fr
Q379702,Louis,Cavaignac,1802-10-15,1857-10-28,Paris,https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Cavaignac,1848-06-28,1848-12-20,"LouisEugène Cavaignac, connu aussi sous le nom degénéral Cavaignac, né le23vendémiaireanXI(15 octobre 1802) àPariset mort le28 octobre 1857dans son château d'Ourne àFlée, est ungénéralethomme d'Étatfrançais.",fr
Q441235,Louis,None,1815-03-12,1896-10-07,Le Palais,https://fr.wikipedia.org/wiki/Louis_Jules_Trochu,1870-09-04,1871-01-22,"Louis-Jules Trochu, né auPalaisàBelle-Île-en-Mer(Morbihan) le12 mars 1815et mort àTours(Indre-et-Loire) le7 octobre 1896, est ungénéral de divisionethomme d'Étatfrançaissous leSecond Empire. Élève deSaint-Cyret de l'École d'application du Corps royal d'état-major,gouverneur de Paris, il prend le pouvoir à la suite de laproclamation de la République en 1870, et met en place ungouvernement de la Défense nationalele4 septembre 1870. Il quitte le pouvoir le17 février 1871et met fin à son gouvernement après avoir tenté de poursuivre laguerre franco-allemande.",fr
Q459212,Frédéric,None,1874-03-16,1958-05-20,Paris,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Fran%C3%A7ois-Marsal,1924-06-11,1924-06-13,"Frédéric François-Marsal, né le16 mars 1874àPariset mort le20 mai 1958àGisors, est un homme d'affaires et unhomme politiquefrançaisde la droite républicaine, dont la carrière politique a culminé avec son bref passage à la présidence du Conseil en 1924.",fr
Q3052772,Emmanuel,Macron,1977-12-21,,Amiens,https://fr.wikipedia.org/wiki/Emmanuel_Macron,2017-05-14,,"Emmanuel Macron(/ɛmanɥɛlmakʁɔ̃/[e]Écouter), né le21 décembre 1977àAmiens(Somme), est unhaut fonctionnaireethomme d'Étatfrançais. Il estprésident de la République françaisedepuis le14 mai 2017.",fr
Q12978,Guy,Verhofstadt,1953-04-11,,Dendermonde,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,1999-07-12,2008-03-20,"Guy Maurice Marie-Louise Verhofstadt(uitspraakⓘ) (Dendermonde,11 april1953) is eenBelgischpoliticusvoor deOpen Vlaamse Liberalen en Democraten(Open Vld). Hij waspremier van Belgiëvan 12 juli 1999 tot 20 maart 2008 in drie regeringen. Nu is hij lid van hetEuropees Parlement, waar hij van 2009 tot 2019 fractieleider van deAlliantie van Liberalen en Democraten voor Europa(ALDE) was.",be
Q12981,Yves,Leterme,1960-10-06,,Wervik,https://nl.wikipedia.org/wiki/Yves_Leterme,2009-11-25,2011-12-06,"Yves Camille Désiré Leterme(Wervik,6 oktober1960) is eenBelgischpoliticus. Hij was onder meerVlaams minister-presidentenpremier van België. Hij was lang boegbeeld van deCD&Ven boegbeeld van het toenmalige kartelCD&V/N-VA.",be
Q12983,Herman,None,1947-10-31,,Etterbeek,https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,2008-12-30,2009-11-25,"Herman Achille graaf Van Rompuy(Etterbeek,31 oktober1947) is eenBelgischepoliticus van de christendemocratische partijCD&V. Hij was tussen 30 december 2008 en 25 november 2009 depremier van Belgiëen van 1 januari 2010tot en met 30 november 2014voorzitter van de Europese Raad, in de media vaak incorrect 'president van Europa' genoemd.Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar.",be
Q14989,Léon,Delacroix,1867-12-27,1929-10-15,Saint-Josse-ten-Noode,https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,1918-11-21,1920-11-20,"Léon Fréderic Gustave Delacroix(Sint-Joost-ten-Node,27 december1867–Baden-Baden,15 oktober1929) was eenBelgischkatholiekpoliticus. De Léon Delacroixstraat inAnderlechten hetmetrostation Delacroixwerden naar hem vernoemd.",be
Q14990,Henry,Carton,1869-01-31,1951-05-06,Brussels,https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,1920-11-20,1921-12-16,"Henri Victor Marie Ghislain graaf Carton de Wiart(Brussel,31 januari1869–Ukkel,6 mei1951) (ook als ""Henry"" vermeld) was eenBelgischepoliticus. Hij wasEerste Ministervan 1920 tot 1921.",be
Q14991,Georges,Theunis,1873-02-28,1966-01-04,Montegnée,https://nl.wikipedia.org/wiki/Georges_Theunis,1934-11-20,1935-03-25,"Georges Emile Pierre Léonard Theunis(Montegnée,28 februari1873–Brussel,4 januari1966) was eenBelgischpoliticusvan deKatholieke Partij.",be
Q14992,Aloïs,Van de Vyvere,1871-06-08,1961-10-22,Tielt,https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,1925-05-13,1925-06-17,"Aloys Jean Maria Joseph Van de Vyvere(Tielt,8 juni1871-Parijs,22 oktober1961) was eenBelgischkatholiekvolksvertegenwoordigerenminister.",be
Q14993,Prosper,Poullet,1868-03-05,1937-12-03,Leuven,https://nl.wikipedia.org/wiki/Prosper_Poullet,1925-06-17,1926-05-20,"Prosper Antoine Marie Joseph burggraaf Poullet(Leuven,5 maart1868-3 december1937) was eenBelgischpoliticus.",be
Q14994,Henri,Jaspar,1870-07-28,1939-02-15,Schaerbeek - Schaarbeek,https://nl.wikipedia.org/wiki/Henri_Jaspar,1926-05-20,1931-06-06,"Henri Jaspar(Schaarbeek,28 juli1870-Sint-Gillis,15 februari1939) was eenBelgischkatholiekpoliticus, die twee keer premier van België was.",be
Q14995,Jules,None,1862-12-03,1934-07-15,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Jules_Renkin,1931-06-06,1932-10-22,"Jules Laurent Jean Louis Renkin(Elsene,3 december1862-Brussel,15 juli1934) was eenBelgischkatholiekpoliticus.",be
Q14996,Paul,Van Zeeland,1893-11-11,1973-09-22,Soignies,https://nl.wikipedia.org/wiki/Paul_van_Zeeland,1935-03-25,1937-11-24,"Paul Guillaume van Zeeland(Zinnik,11 november1893–Brussel,22 september1973) was eenBelgischadvocaat, econoom, katholiek politicus en staatsman.",be
Q14997,Achille,Van Acker,1898-04-08,1975-07-10,Bruges,https://nl.wikipedia.org/wiki/Achiel_Van_Acker,1954-04-23,1958-06-26,"Achille Honoré (Achiel) Van Ackeruitspraakⓘ(Brugge,8 april1898– aldaar,10 juli1975) was eenBelgischsocialistischpoliticus. Hij was viermaalpremier van België.",be
Q14998,Camille,Huysmans,1871-05-26,1968-02-25,Bilzen,https://nl.wikipedia.org/wiki/Camille_Huysmans,1946-08-03,1947-03-20,"Jean Joseph Camille Huysmans(ookKamiel Huysmansgenoemd (Bilzen,26 mei1871-Antwerpen,25 februari1968), geboren alsCamiel Hansen, was eenBelgischjournalistensocialistischpoliticusvoor deBWP/BSP.",be
Q14999,Gaston,Eyskens,1905-04-01,1988-01-03,Lier,https://nl.wikipedia.org/wiki/Gaston_Eyskens,1968-07-17,1973-01-26,"Gaston François Marie burggraaf Eyskens(Lier,1 april1905–Leuven,3 januari1988) was drie maalchristendemocratischeerste ministervanBelgiëin de periode tussen1949en1973. Hij was de eerste Belgische regeringsleider die geboren was in de20e eeuw.",be
Q15002,Leo,Tindemans,1922-04-16,2014-12-26,Zwijndrecht,https://nl.wikipedia.org/wiki/Leo_Tindemans,1974-04-25,1978-10-20,"Leonard Clemence (Leo) Tindemans(Zwijndrecht,16 april1922–Edegem,26 december2014) was eenBelgischpoliticusvoor deCVPenminister van staat. Hij waseerste ministervan twee regeringen inBelgië(periode van25 april1974tot20 oktober1978) en behaalde het grootste aantal voorkeurstemmen in de Belgische geschiedenis bij deEuropese verkiezingenvan 1979. Daardoor kreeg hij de bijnaam ""de man van 1 miljoen stemmen"".",be
Q15048,Elio,Di Rupo,1951-07-18,,Morlanwelz,https://nl.wikipedia.org/wiki/Elio_Di_Rupo,2011-12-06,2014-10-11,"Elio Di Rupo(Morlanwelz,18 juli1951) is eenBelgischepoliticusvoor deParti Socialiste(PS). Van 6 december 2011 tot 11 oktober 2014 was hijpremier van Belgiëen werd meermaals minister en minister-president van deWaalse Regering.",be
Q15056,Jean-Luc,Dehaene,1940-08-07,2014-05-15,Montpellier,https://nl.wikipedia.org/wiki/Jean-Luc_Dehaene,1992-03-07,1999-07-12,"Jean-Luc Dehaene maakte zijn opgang in de politiek via de partijcenakels van de voormaligeCVP, het huidigeCD&V. Nadat hij op het Studiecentrum voor de Expansie van Antwerpen werkte, ging hij vanaf 1965 werken bij de studiedienst van hetACW, de koepelorganisatie van de Belgische christelijke arbeidersbeweging. Van 1968 tot 1972 leidde Dehaene deze studiedienst.",be
Q15956,Frans,Schollaert,1851-08-19,1917-06-29,Wilsele,https://nl.wikipedia.org/wiki/Frans_Schollaert,1908-01-09,1911-06-17,"François Victor Marie Ghislain (Frans) Schollaert(Wilsele,19 augustus1851-Sainte-Adresse,25 juni1917)was eenBelgischkatholiekpoliticus.",be
Q143202,Pieter,Decker,1812-01-25,1891-01-04,Zele,https://nl.wikipedia.org/wiki/Pieter_de_Decker,1855-03-30,1857-11-09,"Pierre Jacques François (Pieter) de Decker(Zele,25 januari1812-Schaarbeek,4 januari1891) was eenBelgischpoliticusenauteur.",be
Q155691,Paul-Henri,Spaak,1899-01-25,1972-07-31,Schaerbeek - Schaarbeek,https://nl.wikipedia.org/wiki/Paul-Henri_Spaak,1947-03-20,1949-08-11,"Paul-Henri Charles Spaakuitspraakⓘ(Schaarbeek,25 januari1899-Eigenbrakel,31 juli1972) was eenBelgischsocialistischpoliticusen regeringsleider.",be
Q202049,Auguste,Beernaert,1829-07-26,1912-10-06,Ostend,https://nl.wikipedia.org/wiki/Auguste_Beernaert,1884-10-26,1894-03-26,"Auguste Marie François (August) Beernaert(Oostende,26 juli1829–Luzern,6 oktober1912) was eenBelgischkatholiekpoliticusenmensenrechtenactivist. In 1909 won hij deNobelprijs voor de Vrede.",be
Q221781,Théodore,Lefèvre,1914-01-17,1973-09-18,Ghent,https://nl.wikipedia.org/wiki/Th%C3%A9o_Lef%C3%A8vre,1961-04-25,1965-07-28,"Théodore Joseph Albéric Marie Lefèvre(Gent,17 januari1914–Sint-Lambrechts-Woluwe,18 september1973) was eenBelgischpoliticus. Hij was premier van België van 1961 tot 1965, aan het hoofd van deregering Lefèvre-Spaak.",be
Q250021,Paul,None,1919-05-22,2001-01-09,Forest,https://nl.wikipedia.org/wiki/Paul_Vanden_Boeynants,1978-10-20,1979-04-03,"Paul Emile François Henri Vanden Boeynants(Vorst,22 mei1919–Aalst,8 januari2001), in de media en door hemzelf bijgenaamd 'VDB', was eenBelgischvolksvertegenwoordiger, minister enpremier. Alsondernemerwas hij actief in de vleesindustrie.",be
Q289570,Étienne,Gerlache,1785-12-26,1871-02-10,Château of Biourge,https://nl.wikipedia.org/wiki/Etienne_de_Gerlache,1831-02-27,1831-03-10,"Etienne Constantin baron de Gerlache(Biourge,25 december1785-Elsene,10 februari1871) wasadvocaat, politicus en magistraat in hetVerenigd Koninkrijk der Nederlandenen inBelgië.",be
Q313809,Wilfried,Martens,1936-04-19,2013-10-09,Sleidinge,https://nl.wikipedia.org/wiki/Wilfried_Martens,1981-12-17,1992-03-07,"Wilfried Achiel Emma Martensuitspraakⓘ(Sleidinge,19 april1936–Lokeren,9 oktober2013) was een Vlaams-Belgische politicus voor deCD&V(vroeger CVP) en was van april 1979 tot maart 1992 (met een korte onderbreking)eerste ministervanBelgië.",be
Q349477,Mark,Eyskens,1933-04-29,,Leuven,https://nl.wikipedia.org/wiki/Mark_Eyskens,1981-04-06,1981-12-17,"Mark Eyskens is de zoon van politicus enpremierGaston Eyskens(1905-1988) en Gilberte Depetter (1902-1988). Hij had een broer, Erik Eyskens           (1935-2008), die chirurg was inAntwerpen. Een andere broer en zus overleden op jonge leeftijd.",be
Q363942,Pierre,Harmel,1911-03-16,2009-11-15,Uccle,https://nl.wikipedia.org/wiki/Pierre_Harmel,1965-07-28,1966-03-19,"Pierre Charles José Marie graaf Harmel(Ukkel,16 maart1911–Brussel,15 november2009) was eenBelgischadvocaat,hoogleraaren christendemocratischstaatsman.",be
Q442578,Hubert,Pierlot,1883-12-23,1963-12-13,Bertrix,https://nl.wikipedia.org/wiki/Hubert_Pierlot,1939-02-22,1945-02-12,"Hubert Marie Eugène Pierlot(Cugnon,23 december1883–Ukkel,13 december1963) was deBelgischeeerste ministervan1939tot1945.",be
Q446472,Jean-Baptiste,Nothomb,1805-07-03,1881-09-16,Messancy,https://nl.wikipedia.org/wiki/Jean-Baptiste_Nothomb,1841-04-13,1845-07-30,Jean Baptiste baron Nothomb was afkomstig uit een Luxemburgse familie. Hij was een zoon van de deurwaarder Jean-Baptiste Nothomb en van Hélène Schuweyler.,be
Q461745,Edmond,None,1915-04-18,1997-06-15,Lantremange,https://nl.wikipedia.org/wiki/Edmond_Leburton,1973-01-26,1974-04-25,"Edmond Jules Isidore Leburton(Lantremange,18 april1915–Borgworm,15 juni1997) was eenBelgischpoliticusvoor dePSB.",be
Q461753,Jean,None,1900-04-10,1977-10-11,Frasnes-lez-Gosselies,https://nl.wikipedia.org/wiki/Jean_Duvieusart,1950-06-08,1950-08-16,"Jean Pierre Armand Ghislain Marie Duvieusart(Frasnes-lez-Gosselies,10 april1900–Couillet,11 oktober1977) was eenBelgischadvocaatenkatholiekpoliticus.",be
Q468104,Joseph,Lebeau,1794-01-03,1865-03-19,Huy,https://nl.wikipedia.org/wiki/Joseph_Lebeau,1840-04-18,1841-04-13,"Jean Louis Joseph Lebeau(Hoei,2 januari1794– aldaar,19 maart1865) was lid van hetNationaal Congres,Belgischliberaalvolksvertegenwoordigereneerste minister.",be
Q468109,Charles,Rogier,1800-08-17,1885-05-27,Saint-Quentin,https://nl.wikipedia.org/wiki/Charles_Rogier,1857-11-09,1868-01-03,"Charles Latour Rogier(Nederlands, verouderd: Karel Rogier;Saint-Quentin17 augustus1800–Sint-Joost-ten-Node,27 mei1885) was eenBelgischpoliticus en een van de grondleggers van de Belgische staat.",be
Q472257,Barthélemy,None,1794-02-26,1874-08-24,Kasteel van Schabroek,https://nl.wikipedia.org/wiki/Barth%C3%A9lemy_de_Theux_de_Meylandt,1871-12-07,1874-08-21,"Barthélemy-Théodore graaf de Theux de Meylandt(Sint-Truiden,26 februari1794–Heusden,21 augustus1874) was eenBelgischstaatsman, eerste minister en lid van hetNationaal Congres.",be
Q472276,Felix,None,1793-04-05,1862-08-05,Pittem,https://nl.wikipedia.org/wiki/Felix_de_M%C3%BBelenaere,1831-07-24,1832-10-20,"Felix Amandus de Mûelenaere(Pittem,9 april1793– aldaar,5 augustus1862) was eenBelgischunionistischpoliticus.",be
Q476596,Alexander,De Croo,1975-11-03,,Vilvoorde,https://nl.wikipedia.org/wiki/Alexander_De_Croo,2020-10-01,,"Alexander Francis Herman De Croo(Vilvoorde,3 november1975) is eenBelgischpoliticus voorOpen Vld.Sedert 1 oktober 2020 is De Croopremier van Belgiëvan de zogenaamdeVivaldicoalitie. Hij volgdeSophie Wilmèsop en is de eerste Vlaamse premier in iets minder dan 10 jaar.",be
Q527479,Henri,de Brouckère,1801-01-25,1891-01-25,Bruges,https://nl.wikipedia.org/wiki/Henri_de_Brouck%C3%A8re,1852-10-31,1855-03-30,"Henri Ghislain Joseph Marie Hyacinthe de Brouckère(Brugge,25 januari1801-Brussel,25 januari1891) was eenBelgischliberaalpoliticus. Hij was onder meer eerste minister,volksvertegenwoordigeren lid van het BelgischNationaal Congres.",be
Q533339,Albert,None,1790-05-26,1873-05-05,Tournai,https://nl.wikipedia.org/wiki/Albert_Goblet_d%27Alviella,1832-10-20,1834-08-04,"Albert Joseph Goblet, sinds 1838graaf Goblet d'Alviella(Doornik,26 mei1790–Brussel,5 mei1873) was eenBelgischpoliticus en officier.",be
